text,emotion
"Had breakfast, attended class, did some exercise.",neutral
Caught up on emails and updated my planner.,neutral
I spend most days feeling numb and disconnected.,sad
I feel like screaming out of sheer frustration.,angry
Worked on a coding exercise for a few hours calmly.,neutral
I'm terrified of making mistakes in front of others.,anxious
I'm sick of pretending everything is fine.,angry
"I'm irritable, snapping at my friends for no reason.",angry
The system is broken and nobody cares to fix it.,angry
I've lost all motivation to study or socialize.,sad
The system is broken and nobody cares to fix it.,angry
I feel a constant sense of dread.,anxious
I'm struggling to find any reason to keep going.,sad
I feel exploited and unappreciated.,angry
Did some chores and reviewed last week's material.,neutral
The system is broken and nobody cares to fix it.,angry
The anxiety is affecting my physical health now.,anxious
Attended a study group session this afternoon.,neutral
My professors never listen to what students need.,angry
I can't stand the constant pressure being put on me.,angry
I can't remember the last time I smiled genuinely.,sad
Caught up on emails and updated my planner.,neutral
Everything feels pointless and meaningless.,sad
Reviewed notes from lecture and planned my week.,neutral
I want to quit everything and walk away.,angry
I'm constantly on edge and can't relax.,anxious
Why do I have to suffer while others have it easy?,angry
I feel like screaming out of sheer frustration.,angry
My professors never listen to what students need.,angry
Helped a classmate understand a difficult concept.,neutral
I feel exploited and unappreciated.,angry
I feel like I'm drowning in sadness.,sad
Finished my reading for today and went for a walk.,neutral
I feel like I'm drowning in sadness.,sad
I can't remember the last time I smiled genuinely.,sad
Today was uneventful; just routine study and rest.,neutral
I keep catastrophizing even small problems.,anxious
I'm scared I'll fail and disappoint everyone.,anxious
I keep catastrophizing even small problems.,anxious
I've stopped reaching out to friends.,sad
I have trouble sleeping because of all my worries.,anxious
I'm furious about the amount of work assigned.,angry
I miss feeling happy and carefree.,sad
I get panic attacks whenever exams approach.,anxious
I feel jittery and nervous for no clear reason.,anxious
Life feels grey and colorless right now.,sad
Helped a classmate understand a difficult concept.,neutral
Reviewed notes from lecture and planned my week.,neutral
Reviewed notes from lecture and planned my week.,neutral
Everything feels pointless and meaningless.,sad
My grades are slipping and I feel like a failure.,sad
I'm resentful of how much is expected of me.,angry
